#options: 960x720 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=18.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=83 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:46.79 aq:39.30 tex:51202 mv:23597 misc:161 imb:2700 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:38.95 aq:34.31 tex:48154 mv:15132 misc:1818 imb:858 pmb:1009 smb:833 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:46.49 aq:43.34 tex:967 mv:4659 misc:1574 imb:62 pmb:471 smb:2167 d:- ref:0 ;
in:6 out:3 type:P dur:2 cpbdur:2 q:37.97 aq:32.85 tex:49417 mv:17809 misc:1838 imb:907 pmb:985 smb:808 d:- ref:0 ;
in:4 out:4 type:B dur:2 cpbdur:2 q:39.53 aq:35.26 tex:9183 mv:12762 misc:2367 imb:216 pmb:887 smb:1597 d:- ref:0 ;
in:3 out:5 type:b dur:2 cpbdur:2 q:39.79 aq:38.70 tex:2331 mv:7330 misc:1971 imb:95 pmb:634 smb:1971 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:39.86 aq:37.04 tex:1935 mv:7086 misc:2051 imb:110 pmb:616 smb:1974 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:35.74 aq:32.93 tex:50258 mv:16969 misc:1917 imb:788 pmb:1020 smb:892 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:39.07 aq:34.57 tex:8013 mv:12277 misc:2310 imb:163 pmb:869 smb:1668 d:- ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:39.35 aq:37.41 tex:1762 mv:7716 misc:2042 imb:93 pmb:693 smb:1914 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:39.35 aq:39.16 tex:1647 mv:6726 misc:2107 imb:55 pmb:677 smb:1968 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:31.82 aq:30.35 tex:47977 mv:14893 misc:2114 imb:715 pmb:1186 smb:799 d:- ref:0 ;
in:12 out:12 type:i dur:2 cpbdur:2 q:48.16 aq:39.86 tex:49448 mv:26084 misc:148 imb:2700 pmb:0 smb:0 d:- ref:;
in:16 out:13 type:P dur:2 cpbdur:2 q:39.90 aq:32.50 tex:56593 mv:8615 misc:2040 imb:637 pmb:932 smb:1131 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:48.10 aq:33.88 tex:856 mv:240 misc:296 imb:3 pmb:33 smb:2664 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:48.30 aq:34.93 tex:179 mv:72 misc:237 imb:1 pmb:9 smb:2690 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:48.30 aq:27.07 tex:90 mv:47 misc:239 imb:0 pmb:9 smb:2691 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:37.16 aq:30.91 tex:56750 mv:9058 misc:2144 imb:581 pmb:988 smb:1131 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:40.19 aq:29.48 tex:558 mv:212 misc:566 imb:4 pmb:62 smb:2634 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:40.74 aq:40.03 tex:185 mv:98 misc:325 imb:2 pmb:21 smb:2677 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:40.49 aq:35.00 tex:154 mv:37 misc:257 imb:0 pmb:10 smb:2690 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:34.72 aq:27.89 tex:56740 mv:9158 misc:2238 imb:614 pmb:1073 smb:1013 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:38.05 aq:30.42 tex:647 mv:442 misc:647 imb:12 pmb:72 smb:2616 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:38.60 aq:29.57 tex:344 mv:134 misc:354 imb:1 pmb:27 smb:2672 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:38.51 aq:34.24 tex:218 mv:81 misc:269 imb:2 pmb:11 smb:2687 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:32.88 aq:26.32 tex:57928 mv:8616 misc:2320 imb:530 pmb:1071 smb:1099 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:36.47 aq:23.09 tex:1247 mv:487 misc:594 imb:3 pmb:80 smb:2617 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:36.83 aq:30.39 tex:592 mv:528 misc:496 imb:1 pmb:72 smb:2627 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:36.84 aq:28.47 tex:507 mv:185 misc:348 imb:0 pmb:36 smb:2664 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:31.58 aq:24.59 tex:59072 mv:9005 misc:2323 imb:595 pmb:1107 smb:998 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:35.19 aq:28.55 tex:4078 mv:4880 misc:1922 imb:40 pmb:636 smb:2024 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:35.46 aq:28.47 tex:989 mv:921 misc:810 imb:10 pmb:137 smb:2553 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:35.47 aq:29.20 tex:668 mv:370 misc:458 imb:2 pmb:61 smb:2637 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:31.00 aq:23.66 tex:58243 mv:9943 misc:2326 imb:551 pmb:1101 smb:1048 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:33.84 aq:24.50 tex:2099 mv:1847 misc:1150 imb:31 pmb:191 smb:2478 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:33.82 aq:27.18 tex:1105 mv:522 misc:525 imb:9 pmb:64 smb:2627 d:- ref:0 ;
